undefined

1 atom types

1728 atoms

0.000000 100.000000 xlo xhi
0.000000 100.000000 ylo yhi
0.000000 100.000000 zlo zhi

Masses

1 32.000000 # MeOH

Atoms

197 197 1  76.483963 38.321617 54.130322
198 198 1  20.303860 48.613556 43.648548
199 199 1  56.732300 35.991089 55.692886
200 200 1  56.569496 71.054596 44.067841
201 201 1  70.593582 35.195717 43.585262
202 202 1  55.496792 67.116692 42.663765
203 203 1  77.955154 49.780861 54.662384
204 204 1  71.350418 46.440739 67.000496
205 205 1  41.549515 41.565739 30.052032
206 206 1  51.539181 36.343864 47.546730
207 207 1  30.537338 69.867943 47.320446
208 208 1  35.214195 44.388054 31.354013
209 209 1  28.707674 56.208473 32.611233
210 210 1  53.901760 49.450684 57.044762
211 211 1  65.752899 47.548195 31.943468
212 212 1  75.390961 58.119900 43.770988
213 213 1  62.558460 33.189678 18.278561
214 214 1  57.896935 67.251595 28.774061
215 215 1  49.218380 61.905552 33.767433
216 216 1  57.326786 44.026558 36.423668
217 217 1  46.954319 25.221027 68.900551
218 218 1  28.299694 65.161041 56.940952
219 219 1  33.417095 72.259956 56.304970
220 220 1  66.074593 54.428604 38.829872
221 221 1  74.642494 41.518223 37.688389
222 222 1  60.492939 29.325310 52.217064
223 223 1  47.335052 47.195217 57.453720
224 224 1  31.765297 43.870785 60.536686
225 225 1  43.693451 39.226833 29.406807
226 226 1  53.461342 29.954662 69.721870
227 227 1  35.191673 69.123505 57.737480
228 228 1  39.972572 59.428722 37.886002
229 229 1  54.142693 37.286366 71.805649
230 230 1  65.288933 61.091118 59.653423
231 231 1  39.404163 38.597275 73.812080
232 232 1  64.274284 51.246418 65.154121
233 233 1  57.368534 37.080898 40.749569
234 234 1  66.826454 71.397934 43.668243
235 235 1  48.067383 52.845608 63.018494
236 236 1  49.435829 58.846161 36.647892
237 237 1  68.807304 33.920082 52.877819
238 238 1  22.742332 40.967300 54.076950
239 239 1  62.161041 58.514908 73.853813
240 240 1  24.646900 60.437805 51.594517
241 241 1  49.888824 35.445492 72.654175
242 242 1  51.046204 49.621239 62.289948
243 243 1  34.709183 52.944412 72.719177
244 244 1  43.908199 59.728848 21.600519
245 245 1  49.568619 59.473679 72.238266
246 246 1  39.553497 38.499527 49.769611
247 247 1  42.848152 66.291214 37.350677
248 248 1  53.138767 58.390450 22.586390
249 249 1  65.566536 46.038872 69.116074
250 250 1  39.729668 36.392860 62.141472
251 251 1  22.836153 45.736980 55.259506
252 252 1  18.985273 48.778973 58.902473
253 253 1  39.668732 25.806795 42.490589
254 254 1  50.966557 42.575226 37.080528
255 255 1  49.185596 44.229988 40.683701
256 256 1  22.734468 64.697968 56.351009
257 257 1  34.736061 59.966770 55.464100
258 258 1  33.740791 52.322929 58.111790
259 259 1  47.902550 47.970490 34.213169
260 260 1  50.008762 24.976318 63.388538
261 261 1  64.653793 40.468491 50.121231
262 262 1  35.475430 58.815853 50.105831
263 263 1  50.414227 26.774405 40.636566
